Date,PX_LAST
10/30/2025,113.169
10/29/2025,110.163
10/28/2025,111.136
10/27/2025,110.257
10/24/2025,111.795
10/23/2025,115.429
10/22/2025,116.579
10/21/2025,115.138
10/20/2025,115.695
10/17/2025,116.391
10/16/2025,115.493
10/15/2025,113.056
10/14/2025,115.36
10/13/2025,116.9
10/10/2025,116.196
10/9/2025,111.799
10/8/2025,111.468
10/7/2025,111.56
10/6/2025,113.291
10/3/2025,115.101
10/2/2025,114.845
10/1/2025,116.229
9/30/2025,115.15
9/29/2025,114.786
9/26/2025,115.855
9/25/2025,115.976
9/24/2025,112.689
9/23/2025,111.972
9/22/2025,112.154
9/19/2025,105.982
9/18/2025,106.66
9/17/2025,107.569
9/16/2025,108.245
9/15/2025,108.03
9/12/2025,109.008
9/11/2025,110.101
9/10/2025,112.202
9/9/2025,111.61
9/8/2025,111.523
9/5/2025,111.473
9/4/2025,111.492
9/3/2025,111.887
9/2/2025,111.179
9/1/2025,106.405
8/29/2025,106.508
8/28/2025,105.631
8/27/2025,104.728
8/26/2025,102.958
8/25/2025,103.84
8/22/2025,102.52
8/21/2025,105.513
8/20/2025,107.048
8/19/2025,100.671
8/18/2025,105.548
8/15/2025,102.547
8/14/2025,107.47
8/13/2025,101.725
8/12/2025,102.069
8/11/2025,103.6
8/8/2025,103.315
8/7/2025,106.634
8/6/2025,106.532
8/5/2025,106.711
8/4/2025,106.185
8/1/2025,109.06
7/31/2025,103.186
7/30/2025,104.632
7/29/2025,106.007
7/28/2025,106.446
7/25/2025,106.082
7/24/2025,106.302
7/23/2025,107.641
7/22/2025,107.333
7/21/2025,107.367
7/18/2025,110.957
7/17/2025,110.896
7/16/2025,113.167
7/15/2025,112.649
7/14/2025,111.588
7/11/2025,111.647
7/10/2025,110.363
7/9/2025,112.313
7/8/2025,113.683
7/7/2025,113.629
7/4/2025,115.947
7/3/2025,115.512
7/2/2025,116.508
7/1/2025,116.621
6/30/2025,120.67
6/27/2025,120.538
6/26/2025,121.85
6/25/2025,123.53
6/24/2025,123.918
6/23/2025,126.986
6/20/2025,126.882
6/19/2025,126.325
6/18/2025,126.977
6/17/2025,125.261
6/16/2025,118.457
6/13/2025,119.108
6/12/2025,112.621
6/11/2025,108.566
6/10/2025,101.755
6/9/2025,103.173
6/6/2025,103.057
6/5/2025,104.634
6/4/2025,104.994
6/3/2025,104.938
6/2/2025,106.154
5/30/2025,105.466
5/29/2025,104.367
5/28/2025,104.928
5/27/2025,105.864
5/26/2025,109.748
5/23/2025,109.527
5/22/2025,106.127
5/21/2025,103.381
5/20/2025,98.373
5/19/2025,98.342
5/16/2025,100.23
5/15/2025,101.193
5/14/2025,104.808
5/13/2025,102.123
5/12/2025,105.324
5/9/2025,116.087
5/8/2025,117.13
5/7/2025,121.42
5/6/2025,124.188
5/5/2025,122.055
5/2/2025,127.217
5/1/2025,130.306
4/30/2025,131.839
4/29/2025,129.345
4/28/2025,131.382
4/25/2025,132.292
4/24/2025,133.63
4/23/2025,134.893
4/22/2025,140.753
4/21/2025,145.444
4/18/2025,139.18
4/17/2025,138.379
4/16/2025,141.703
4/15/2025,140.963
4/14/2025,143.99
4/11/2025,150.905
4/10/2025,155.306
4/9/2025,149.477
4/8/2025,163.172
4/7/2025,159.405
4/4/2025,159.255
4/3/2025,146.551
4/2/2025,135.245
4/1/2025,138.325
