Date,Last Price
11/13/2025,172.765
11/12/2025,174.96
11/11/2025,174.75
11/10/2025,178.075
11/7/2025,182.75
11/6/2025,188.01
11/5/2025,187.9
11/4/2025,180.945
11/3/2025,177.74
10/31/2025,178.09
10/30/2025,177.7
10/29/2025,177.98
10/28/2025,172.67
10/27/2025,178.05
10/24/2025,182.885
10/23/2025,188.085
10/22/2025,182.99
10/21/2025,182.965
10/20/2025,188.055
10/17/2025,188.07
10/16/2025,192.75
10/15/2025,198.13
10/14/2025,207.77
10/13/2025,207.935
10/10/2025,192.915
10/9/2025,194.94
10/8/2025,192.87
10/7/2025,194.86
10/6/2025,197.97
10/3/2025,198.075
10/2/2025,194.865
10/1/2025,198.05
9/30/2025,192.98
9/29/2025,196.265
9/26/2025,198.16
9/25/2025,190.16
9/24/2025,186.225
9/23/2025,190.555
9/22/2025,191.965
9/19/2025,179.905
9/18/2025,183.01
9/17/2025,175.91
9/16/2025,172.74
9/15/2025,170.895
9/12/2025,174.93
9/11/2025,177.855
9/10/2025,178
9/9/2025,172.75
9/8/2025,172.995
9/5/2025,174.87
9/4/2025,177.77
9/3/2025,179.93
9/2/2025,171.665
9/1/2025,171.89
8/29/2025,169.845
8/28/2025,169.74
8/27/2025,168.81
8/26/2025,171.785
8/25/2025,169.985
8/22/2025,181.905
8/21/2025,181.97
8/20/2025,175.085
8/19/2025,172.785
8/18/2025,174.955
8/15/2025,169.805
8/14/2025,164.705
8/13/2025,172.75
8/12/2025,189.925
8/11/2025,189.935
8/8/2025,191.335
8/7/2025,194.965
8/6/2025,200.005
8/5/2025,194.725
8/4/2025,203.01
8/1/2025,189.985
7/31/2025,188.005
7/30/2025,187.94
7/29/2025,182.86
7/28/2025,183.025
7/25/2025,183.265
7/24/2025,177.855
7/23/2025,180.915
7/22/2025,177.905
7/21/2025,183.125
7/18/2025,182.92
7/17/2025,189.945
7/16/2025,187.775
7/15/2025,177.895
7/14/2025,177.82
7/11/2025,204.325
7/10/2025,199.77
7/9/2025,189.78
7/8/2025,194.705
7/7/2025,189.895
7/4/2025,189.895
7/3/2025,187.835
7/2/2025,187.835
7/1/2025,192.86
6/30/2025,203.065
6/27/2025,208.97
6/26/2025,212.9
6/25/2025,217.915
6/24/2025,235.025
6/23/2025,237.855
6/20/2025,243.025
6/19/2025,243.005
6/18/2025,243.02
6/17/2025,222.675
6/16/2025,242.96
6/13/2025,233.105
6/12/2025,232.5
6/11/2025,213.075
6/10/2025,217.86
6/9/2025,222.915
6/6/2025,232.84
6/5/2025,227.945
6/4/2025,233.11
6/3/2025,238.075
6/2/2025,248.125
5/30/2025,248.155
5/29/2025,248.115
5/28/2025,248.08
5/27/2025,273.09
5/26/2025,273.085
5/23/2025,262.97
5/22/2025,267.915
5/21/2025,252.955
5/20/2025,247.99
5/19/2025,248.275
5/16/2025,253.19
5/15/2025,253.19
5/14/2025,253.24
5/13/2025,273.15
5/12/2025,303.175
5/9/2025,288.115
5/8/2025,303.17
5/7/2025,308
5/6/2025,303.15
5/5/2025,308.095
5/2/2025,322.925
5/1/2025,322.945
4/30/2025,288.26
4/29/2025,298.055
4/28/2025,293.07
4/25/2025,298.2
4/24/2025,307.98
4/23/2025,327.82
4/22/2025,332.92
4/21/2025,318.115
4/18/2025,318.18
